"Table Name","Index Name","Index Is_Unique","Index Type","Index Column Name"
CommonColumnsForTriggerTemplate,UK_TransactionNumber,true,AK1,Transaction Number
CommonColumnsForTriggerTemplate,XPKCommonColumnsForTriggerTemplate,true,PK,
Country,PKCountry,true,PK,CountryId
Country,UK_CountryName,true,AK1,CountryName
Country,UK_RegiodID,true,AK2,RegionId
Country,XIF1Country,true,IF1,RegionId
Customer,PKCustomer,true,PK,CustomerId
Customer,XIF1Customer,false,IF1,CountryId
Model,PKModel1,true,PK,ModelId
Model,PKModel1,true,PK,MakeId
Model,XIF1ManufacturerModel,false,IF1,MakeId
Model,XIF2ManufacturerModel,false,IF2,CategoryId
Make,PKMake,true,PK,VehicleMakeId
VehicleStock,PKStock,true,PK,StockId
VehicleStock,UK_ModelID,true,AK1,
VehicleStock,UK_StockID,true,AK2,
VehicleStock,XIF1ManufacturerVehicleStock,false,IF1,ModelId
VehicleStock,XIF1ManufacturerVehicleStock,false,IF1,VehicleId
VehicleStock,XIF1ManufacturerVehicleStock,false,IF1,MakeId
VehicleStock,XIF1ManufacturerVehicleStock,false,IF1,TrimId
Category,XPKMarketingCategory,true,PK,CategoryId
Order,UK_InvoiceNumber,true,AK1,InvoiceNumber
Order,XIF1SalesOrderVehicle,false,IF1,CustomerId
Order,XIF2SalesOrderVehicle,false,IF2,StaffId
Order,XPKSalesOrderVehicle,true,PK,CustomerId
Order,XPKSalesOrderVehicle,true,PK,OrderId
Order,XPKSalesOrderVehicle,true,PK,StaffId
Staff,XIF1Staff,false,IF1,
Staff,XPKStaff,true,PK,StaffId
sysdiagrams,PKsysdiagrC2B05B612F18C246,true,PK,diagramid
sysdiagrams,UKprincipalname,true,AK1,Name
sysdiagrams,UKprincipalname,true,AK1,Principal Id
Vehicle,UK_VINNumber,true,AK1,
Vehicle,XIF2ManufacturerVehicle,false,IF2,ManufacturerCountryId
Vehicle,XIF3ManufacturerVehicle,false,IF3,EngineId
Vehicle,XIF3ManufacturerVehicle,false,IF3,VehicleMakeId
Vehicle,XIF4ManufacturerVehicle,false,IF4,DriveTrainId
Vehicle,XIF5ManufacturerVehicle,false,IF5,FuelTypeId
Vehicle,XIF6ManufacturerVehicle,false,IF6,TransmissionId
Vehicle,XIF7ManufacturerVehicle,false,IF7,ColorId
Vehicle,XIF8ManufacturerVehicle,false,IF8,ModelId
Vehicle,XIF8ManufacturerVehicle,false,IF8,MakeId
Vehicle,XIF8ManufacturerVehicle,false,IF8,TrimId
Vehicle,XPKManufacturerVehicle,true,PK,ModelId
Vehicle,XPKManufacturerVehicle,true,PK,VehicleId
Vehicle,XPKManufacturerVehicle,true,PK,MakeId
Vehicle,XPKManufacturerVehicle,true,PK,TrimId
Region,XPKRegion,true,PK,RegionId
Feature,XPKFeature,true,PK,FeatureId
FeatureVehicle,XIF1FeatureManufacturerVehicle,false,IF1,Feature Id
FeatureVehicle,XIF2FeatureManufacturerVehicle,false,IF2,ModelId
FeatureVehicle,XIF2FeatureManufacturerVehicle,false,IF2,VehicleId
FeatureVehicle,XIF2FeatureManufacturerVehicle,false,IF2,MakeId
FeatureVehicle,XIF2FeatureManufacturerVehicle,false,IF2,TrimId
FeatureVehicle,XPKFeatureManufacturerVehicle,true,PK,Feature Vehicle Id
Engine,XIF1Engine,false,IF1,VehicleMakeId
Engine,XPKEngine,true,PK,EngineId
Engine,XPKEngine,true,PK,VehicleMakeId
DriveTrain,UK_DriveTrainCode,true,AK1,
DriveTrain,XPKDriveTrain,true,PK,DriveTrainId
FuelType,XPKFuel,true,PK,FuelTypeId
Color,XPKColor,true,PK,ColorId
Transmission,XIF1Transmission,false,IF1,TransmissionTypeId
Transmission,XIF2Transmission,false,IF2,VehicleMakeId
Transmission,XPKTransmission,true,PK,VehicleMakeId
Transmission,XPKTransmission,true,PK,TransmissionId
TransmissionType,XPKTransmissionType,true,PK,TransmissionTypeId
Trim,XIF1Trim,false,IF1,ModelId
Trim,XIF1Trim,false,IF1,MakeId
Trim,XPKTrim,true,PK,ModelId
Trim,XPKTrim,true,PK,MakeId
Trim,XPKTrim,true,PK,TrimId
OrderVehicle,UK_LineItemNumber,true,AK1,LineItemNumber
OrderVehicle,XIF1SalesOrderVehicleManufacturerVehicle,false,IF1,CustomerId
OrderVehicle,XIF1SalesOrderVehicleManufacturerVehicle,false,IF1,OrderId
OrderVehicle,XIF1SalesOrderVehicleManufacturerVehicle,false,IF1,StaffId
OrderVehicle,XIF2SalesOrderVehicleManufacturerVehicle,false,IF2,ModelId
OrderVehicle,XIF2SalesOrderVehicleManufacturerVehicle,false,IF2,VehicleId
OrderVehicle,XIF2SalesOrderVehicleManufacturerVehicle,false,IF2,MakeId
OrderVehicle,XIF2SalesOrderVehicleManufacturerVehicle,false,IF2,TrimId
OrderVehicle,XPKSalesOrderVehicleManufacturerVehicle,true,PK,CustomerId
OrderVehicle,XPKSalesOrderVehicleManufacturerVehicle,true,PK,ModelId
OrderVehicle,XPKSalesOrderVehicleManufacturerVehicle,true,PK,VehicleId
OrderVehicle,XPKSalesOrderVehicleManufacturerVehicle,true,PK,MakeId
OrderVehicle,XPKSalesOrderVehicleManufacturerVehicle,true,PK,OrderVehicleId
OrderVehicle,XPKSalesOrderVehicleManufacturerVehicle,true,PK,OrderId
OrderVehicle,XPKSalesOrderVehicleManufacturerVehicle,true,PK,StaffId
OrderVehicle,XPKSalesOrderVehicleManufacturerVehicle,true,PK,TrimId
UserAuthorization,XPKUserAuthorization,true,PK,UserAuthorizationId
AuditCustomerHistory,XPKAuditCustomerHistory,true,PK,AuditCustomerHistory
AuditMakeHistory,XPKAudit,true,PK,AuditMakeHistoryId
AuditModelHistory,XPKAuditModelHistory,true,PK,AuditModelHistoryId
AuditOrderHistory,XPKAuditOrderHistory,true,PK,AuditOrderHistoryId
AuditOrderVehicleHistory,XPKAuditOrder,true,PK,AuditOrderVehicleHistory
AuditStaffHistory,XPKAuditStaffHistory,true,PK,AuditStaffHistory
AuditVehicleHistory,XPKVehicleHistory,true,PK,AuditVehicleHistoryId
AuditVehicleStockHistory,XPKAuditVehicleStockHistory,true,PK,AuditVehicleStockHistoryId
